country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Indonesia;Aceh;0;5683650;5683650;5683650;129164;18402;11039;11858;19315;26677;21392;24304;36867;69393;40897;47777;50225;44602;63050;35718;54064;49775;50240;31054;33716;34795;32777;43810;52495
Indonesia;Aceh;10;5683650;5090906;4996298;129164;18325;10988;11830;19213;26563;21326;24221;36785;69241;40821;47582;49582;41930;59577;34386;50990;46781;47054;29148;31009;32516;30495;40110;47497
Indonesia;Aceh;15;5683650;5050168;4946855;129164;18309;10974;11827;19187;26537;21311;24202;36770;69196;40802;47550;49526;41776;59276;34261;50711;46489;46775;28962;30750;32292;30263;39754;47042
Indonesia;Aceh;20;5683650;5029128;4932162;129164;18297;10966;11822;19168;26510;21299;24188;36753;69166;40787;47527;49478;41639;59025;34159;50498;46263;46546;28829;30574;32117;30095;39486;46720
Indonesia;Aceh;25;5683650;5014670;4908701;129164;18289;10961;11818;19156;26495;21295;24181;36746;69148;40779;47513;49451;41567;58898;34109;50373;46141;46416;28758;30474;32020;30014;39341;46528
Indonesia;Aceh;30;5683650;4984708;4879169;129164;18278;10952;11816;19138;26479;21284;24168;36734;69111;40757;47485;49396;41390;58555;33969;50074;45813;46111;28562;30225;31786;29785;38983;46071
Indonesia;Aceh;50;5683650;4865387;4716584;129164;18163;10872;11772;18913;26216;21160;24029;36597;68754;40588;47255;48967;40580;57122;33373;48737;44484;44807;27788;29194;30829;28874;37628;44282
Indonesia;Aceh;75;5683650;4516637;4360782;129164;17429;10365;11449;17645;24735;20191;23030;35555;66126;39169;45421;46308;35713;50092;29886;42783;39072;39277;24544;25220;26687;25036;31719;37230
Indonesia;Bali;0;559070;559070;559070;4012;430;319;181;381;241;521;509;232;384;203;273;1118;1043;2095;195;194;379;478;1200;212;276;350;1092;328
Indonesia;Bali;10;559070;392005;416881;4012;425;314;179;373;238;517;505;230;380;201;222;769;464;1024;140;161;280;319;751;169;209;275;612;182
Indonesia;Bali;15;559070;382739;403446;4012;425;313;179;372;238;517;504;230;378;199;218;760;442;984;138;159;276;315;736;167;207;272;599;180
Indonesia;Bali;20;559070;377802;401646;4012;424;313;179;372;238;516;504;230;377;199;217;753;424;952;135;158;271;309;725;167;204;269;585;174
Indonesia;Bali;25;559070;372071;397749;4012;424;312;179;371;237;515;504;229;377;199;216;749;413;933;134;158;266;306;718;166;201;266;576;173
Indonesia;Bali;30;559070;365485;389702;4012;424;311;179;370;236;515;504;229;377;198;216;743;396;907;133;156;263;302;706;165;199;262;558;168
Indonesia;Bali;50;559070;339179;354362;4012;417;307;178;362;232;508;496;226;369;195;210;715;305;783;116;148;240;286;631;160;185;246;494;147
Indonesia;Bali;75;559070;276608;283879;4012;380;279;171;315;211;468;471;207;335;176;188;606;129;487;77;129;180;239;422;140;153;203;328;105
Indonesia;Bangka Belitung;0;1675803;1675803;1675803;93386;14214;11479;7298;22432;20102;20442;23437;22856;64249;23311;32686;40251;19320;45838;46280;62455;28913;26181;30855;29448;36578;40744;62738;37956
Indonesia;Bangka Belitung;10;1675803;1381794;1309185;93386;14054;11345;7195;22150;19953;20336;23336;22766;64073;23252;32531;39723;17911;42085;42123;58944;26152;23036;26404;25435;31945;35162;52394;32109
Indonesia;Bangka Belitung;15;1675803;1364686;1290370;93386;14016;11322;7179;22096;19921;20311;23310;22741;64024;23236;32494;39646;17816;41836;41872;58728;25984;22847;26120;25178;31644;34817;51736;31765
Indonesia;Bangka Belitung;20;1675803;1354278;1279019;93386;13972;11291;7155;22048;19889;20286;23281;22714;63976;23219;32462;39582;17730;41620;41654;58530;25818;22691;25921;24974;31404;34524;51239;31495
Indonesia;Bangka Belitung;25;1675803;1346270;1266587;93386;13948;11270;7138;22011;19863;20261;23260;22695;63939;23204;32436;39531;17680;41497;41528;58427;25732;22601;25786;24848;31266;34358;50949;31348
Indonesia;Bangka Belitung;30;1675803;1332845;1255814;93386;13910;11247;7124;21976;19839;20241;23237;22678;63896;23187;32400;39451;17575;41246;41281;58203;25558;22426;25529;24628;31006;34052;50388;31059
Indonesia;Bangka Belitung;50;1675803;1260776;1176362;93386;13595;10993;6949;21530;19461;19883;22874;22306;63076;22930;31930;38759;16984;39756;39818;56831;24591;21408;24201;23336;29569;32351;47341;29445
Indonesia;Bangka Belitung;75;1675803;1011600;1010920;93386;12240;9798;6182;19350;17229;17892;20366;19892;56936;20982;28707;35039;14100;32319;32089;47736;19781;16904;18914;18152;23057;24892;34898;22719
Indonesia;Banten;0;935212;935212;935212;10710;1060;1773;295;1417;549;1959;1068;936;2765;1639;2355;3331;2047;2520;3048;2094;3776;3794;5549;2262;2073;1668;4785;4192
Indonesia;Banten;10;935212;602794;576283;10710;1057;1767;293;1411;547;1949;1064;934;2759;1635;2343;3301;1883;2325;2768;2009;3578;3506;4931;2101;1960;1585;3998;3453
Indonesia;Banten;15;935212;589689;558908;10710;1057;1765;293;1410;547;1947;1063;933;2758;1635;2336;3298;1870;2309;2740;1998;3554;3480;4867;2084;1950;1576;3926;3395
Indonesia;Banten;20;935212;583247;555727;10710;1056;1764;293;1407;546;1943;1063;932;2756;1635;2333;3293;1854;2296;2708;1989;3533;3454;4816;2069;1939;1566;3863;3342
Indonesia;Banten;25;935212;575087;549176;10710;1056;1763;293;1406;545;1939;1061;931;2756;1634;2331;3290;1846;2293;2693;1981;3521;3436;4782;2061;1930;1557;3817;3313
Indonesia;Banten;30;935212;561723;536388;10710;1054;1761;293;1404;545;1938;1060;930;2754;1633;2329;3286;1830;2275;2663;1969;3495;3401;4715;2042;1915;1546;3744;3256
Indonesia;Banten;50;935212;519445;484536;10710;1045;1737;288;1383;540;1907;1052;921;2734;1621;2286;3252;1736;2185;2481;1902;3326;3231;4390;1953;1826;1478;3417;3003
Indonesia;Banten;75;935212;424438;374914;10710;955;1583;259;1241;493;1651;962;849;2551;1531;2045;3038;1428;1814;1880;1605;2651;2605;3419;1616;1495;1209;2517;2248
Indonesia;Bengkulu;0;1981482;1981482;1981482;66292;14301;10483;8145;26054;13181;23647;17614;22383;18792;16034;24647;27868;14561;21061;21208;25524;28906;26146;19890;17681;16777;26758;35547;24649
Indonesia;Bengkulu;10;1981482;1831131;1828797;66292;14239;10445;8119;26014;13158;23612;17594;22369;18769;16022;24594;27796;14233;20482;20413;24643;27582;24941;18529;16581;14678;24230;30692;21501
Indonesia;Bengkulu;15;1981482;1819558;1814338;66292;14227;10438;8115;26007;13152;23605;17591;22366;18765;16019;24585;27787;14209;20437;20349;24569;27479;24839;18429;16500;14568;24092;30441;21352
Indonesia;Bengkulu;20;1981482;1811419;1807308;66292;14216;10431;8110;25999;13149;23599;17587;22360;18761;16017;24578;27777;14187;20389;20292;24502;27389;24753;18344;16429;14464;23984;30233;21198
